Genes,p_vals
LINC00278,0.111685475992483
MARS2,0.8437259452023002
FBXW4,0.601412849944283
MIR3667HG,0.854875483286909
SLC39A3,0.485358496965963
NIT1,0.307945857411248
MACROH2A2,0.6527939215391461
S100A6,0.0658023619748875
SIGLEC9,0.00975295029853989
AP4B1-AS1,0.8436511108982631
GTPBP3,0.0497538598816501
DSTYK,0.0637127493202723
H2BC20P,0.253853464030986
NEXMIF,0.30909125801972304
NTPCR,0.333299146879443
CAPZA1,0.0196802132413261
NELL2,0.000731107256587567
SLFNL1-AS1,0.212395847850763
GPR22,0.8448241509779679
IMPDH2,0.6769379024983772
BICRA,0.989108244303548
AGAP6,0.828695619801893
